Id,Label,mergenode,businesstable
213,ADDITIONAL_INFORMATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
212,ADDITIONAL_INFORMATION.E55,HERITAGE_RESOURCE.E18,domains
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
140,ADDRESS_TYPE.E55,PLACE.E53,domains
79,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
78,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
32,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,strings
104,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
103,ANCILLARY_FEATURE_TYPE.E55,PRODUCTION.E12,domains
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
156,BEGINNING_OF_EXISTENCE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
154,BEGINNING_OF_EXISTENCE.E63,HERITAGE_RESOURCE.E18,
92,COMPONENT_PRODUCTION.E12,PRODUCTION.E12,
40,COMPONENT_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
25,COMPONENT_TYPE.E55,PRODUCTION.E12,domains
91,COMPONENT.E18,PRODUCTION.E12,
37,CONDITION_ASSESSMENT.E14,HERITAGE_RESOURCE.E18,
58,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
142,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
166,CONDITION_IMAGE_FILE_PATH.E62,CONDITION_ASSESSMENT.E14,files
169,CONDITION_IMAGE_THUMBNAIL.E62,CONDITION_ASSESSMENT.E14,files
167,CONDITION_IMAGE.E73,CONDITION_ASSESSMENT.E14,
20,CONDITION_STATE.E3,CONDITION_ASSESSMENT.E14,
13,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
65,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
30,CONSTRUCTION_TECHNIQUE.E55,PRODUCTION.E12,domains
14,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
61,CULTURAL_PERIOD.E55,PRODUCTION.E12,domains
12,DATE_CONDITION_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
173,DATE_EVALUATED.E49,HERITAGE_RESOURCE.E18,dates
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
118,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
117,DESCRIPTION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
105,DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
24,DESIGN_OR_PROCEDURE.E29,PRODUCTION.E12,
9,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
43,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
181,DISTURBANCE_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
180,DISTURBANCE_CAUSE_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
179,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
178,DISTURBANCE_CAUSE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
175,DISTURBANCE_DATE_END.E49,CONDITION_ASSESSMENT.E14,dates
174,DISTURBANCE_DATE_START.E49,CONDITION_ASSESSMENT.E14,dates
185,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
184,DISTURBANCE_EFFECT_CERTAINTY_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
183,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
182,DISTURBANCE_EFFECT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
176,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
177,DISTURBANCE_EXTENT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
115,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
110,DISTURBANCE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
131,ELIGIBILITY_REQUIREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
130,ELIGIBILITY_REQUIREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
165,END_DATE_OF_EXISTENCE.E49,HERITAGE_RESOURCE.E18,dates
162,END_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
160,END_OF_EXISTENCE_TYPE.E55,HERITAGE_RESOURCE.E18,domains
155,END_OF_EXISTENCE.E64,HERITAGE_RESOURCE.E18,
93,EVALUATION_CRITERIA_ASSIGNMENT.E13,HERITAGE_RESOURCE.E18,
122,EVALUATION_CRITERIA_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
94,EVALUATION_CRITERIA_TYPE.E55,HERITAGE_RESOURCE.E18,domains
77,EXTERNAL_RESOURCE.E1,HERITAGE_RESOURCE.E18,
2,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
23,EXTERNAL_XREF_TYPE.E55,HERITAGE_RESOURCE.E18,domains
54,EXTERNAL_XREF.E42,HERITAGE_RESOURCE.E18,strings
203,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.E55,PRODUCTION.E12,strings
202,FEATURE_EVIDENCE_ARRANGEMENT_TYPE.E55,PRODUCTION.E12,domains
207,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
206,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE.E55,PRODUCTION.E12,domains
205,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
204,FEATURE_EVIDENCE_INTERPRETATION_TYPE.E55,PRODUCTION.E12,domains
197,FEATURE_EVIDENCE_NUMBER_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
196,FEATURE_EVIDENCE_NUMBER_TYPE.E55,PRODUCTION.E12,domains
195,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
201,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
200,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE.E55,PRODUCTION.E12,domains
194,FEATURE_EVIDENCE_TYPE.E55,PRODUCTION.E12,domains
199,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
198,FEATURE_EVIDENCE_SHAPE_TYPE.E55,PRODUCTION.E12,domains
66,FROM_DATE.E49,PRODUCTION.E12,dates
11,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
21,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
219,GRIDSQUARE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
218,GRIDSQUARE.E42,PLACE.E53,domains
6,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
42,HERITAGE_RESOURCE_TYPE.E55,PRODUCTION.E12,domains
99,HERITAGE_RESOURCE_USE_TYPE.E55,PRODUCTION.E12,domains
69,HERITAGE_RESOURCE.E18,HERITAGE_RESOURCE.E18,
96,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
95,INTEGRITY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
41,KEYWORD_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
46,KEYWORD.E55,HERITAGE_RESOURCE.E18,domains
112,MANAGEMENT_RECOMMENDATION.E89,CONDITION_ASSESSMENT.E14,
1,MATERIAL_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
49,MATERIAL.E57,PRODUCTION.E12,domains
217,MEASUREMENT_CERTAINTY_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
216,MEASUREMENT_CERTAINTY.E55,HERITAGE_RESOURCE.E18,domains
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
36,MEASUREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
